,Result,Record,Opponent,Method,Event,Date,Round,Time,Location,Notes
0,Win,27–15 (1),Stefan Struve,Decision (unanimous),UFC 222,000000002018-03-03-0000,3,5:00,"Las Vegas, Nevada",
1,Win,26–15 (1),Júnior Albini,Decision (unanimous),UFC Fight Night: Poirier vs. Pettis,000000002017-11-11-0000,3,5:00,"Norfolk, Virginia",
2,Loss,25–15 (1),Marcin Tybura,Decision (unanimous),UFC Fight Night: Holm vs. Correia,000000002017-06-17-0000,3,5:00,Kallang,
3,Loss,25–14 (1),Francis Ngannou,TKO (punches),UFC on Fox: Shevchenko vs. Peña,000000002017-01-28-0000,1,1:32,"Denver, Colorado",
4,Loss,25–13 (1),Josh Barnett,Submission (rear-naked choke),UFC Fight Night: Arlovski vs. Barnett,000000002016-09-03-0000,3,2:53,Hamburg,Fight of the Night.
5,Loss,25–12 (1),Alistair Overeem,TKO (crane kick and punches),UFC Fight Night: Overeem vs. Arlovski,000000002016-05-08-0000,2,1:12,Rotterdam,
6,Loss,25–11 (1),Stipe Miocic,TKO (punches),UFC 195,000000002016-01-02-0000,1,0:54,"Las Vegas, Nevada",
7,Win,25–10 (1),Frank Mir,Decision (unanimous),UFC 191,000000002015-09-05-0000,3,5:00,"Las Vegas, Nevada",
8,Win,24–10 (1),Travis Browne,TKO (punches),UFC 187,000000002015-05-23-0000,1,4:41,"Las Vegas, Nevada",Fight of the Night.
9,Win,23–10 (1),Antônio Silva,KO (punches),UFC Fight Night: Silva vs. Arlovski,000000002014-09-13-0000,1,2:59,Brasília,Performance of the Night.
10,Win,22–10 (1),Brendan Schaub,Decision (split),UFC 174,000000002014-06-14-0000,3,5:00,Vancouver,
11,Win,21–10 (1),Andreas Kraniotakes,TKO (punches),Fight Nights: Battle in Minsk,000000002013-11-29-0000,2,3:14,Minsk,
12,Win,20–10 (1),Mike Kyle,Decision (unanimous),World Series of Fighting 5: Arlovski vs. Kyle,000000002013-09-14-0000,3,5:00,Atlantic City,
13,Loss,19–10 (1),Anthony Johnson,Decision (unanimous),World Series of Fighting 2: Arlovski vs. Johnson,000000002013-03-23-0000,3,5:00,Atlantic City,
14,Win,19–9 (1),Mike Hayes,Decision (unanimous),Fight Nights: Battle of Moscow 9,000000002012-12-16-0000,3,5:00,Moscow,
15,Win,18–9 (1),Devin Cole,TKO (punches),World Series of Fighting 1: Arlovski vs. Cole,000000002012-11-03-0000,1,2:37,Las Vegas,
16,NC,17–9 (1),Tim Sylvia,NC (illegal soccer kicks),One FC 5: Pride of a Nation,000000002012-08-31-0000,2,4:46,Quezon City,
